,0,1,2,3,4
0,好旺角粥麵專家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/good-hope-noodle,粥麵,"旺角洗衣街123號, Hong Kong, 香港",page - 1
1,留園雅敘,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/liu-yuan-pavilion,滬菜,"灣仔駱克道54-62號博匯大廈3樓, Hong Kong, 香港",page - 1
2,Vea,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/vea,創新菜,"中環威靈頓街198號The Wellington 30樓, Hong Kong, 香港",page - 1
3,豫園,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/shanghai-yu-yuan,滬菜,"銅鑼灣登龍街18號 V Point 26樓, Hong Kong, 香港",page - 1
4,Épure,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/epure,時尚法國菜,"尖沙咀廣東道3-27號海港城海洋中心4樓403號舖, Hong Kong, 香港",page - 1
5,新福記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sun-fook-kee,閩菜,"北角渣華道3-5 號永光閣1樓, Hong Kong, 香港",page - 1
6,添好運 (北角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tim-ho-wan-north-point,點心,"北角和富道2-8號, Hong Kong, 香港",page - 1
7,德記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tak-kee,潮州菜,"西環卑路乍街3號G地舖, Hong Kong, 香港",page - 1
8,彭慶記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,粵菜,"跑馬地奕蔭街25號, Hong Kong, 香港",page - 1
9,New Punjab Club,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/new-punjab-club,印度菜,"中環雲咸街34號世界商業大廈地下, Hong Kong, 香港",page - 1
10,呇 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/qi-tsim-sha-tsui,川菜,"尖沙咀北京道12號A太子集團中心20樓, Hong Kong, 香港",page - 1
11,文華廳,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/man-wah,粵菜,"中環干諾道中5號文華東方酒店25樓, Hong Kong, 香港",page - 1
12,好湯好麵,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hao-tang-hao-mian,麵食,"大圍積存街20號地舖, Hong Kong, 香港",page - 1
13,潤,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/run,粵菜,"灣仔港灣徑1號瑞吉酒店2樓, Hong Kong, 香港",page - 1
14,Brass Spoon (Wan Chai),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/brass-spoon-wan-chai,越南菜,"灣仔月街1-3號地下B舖, Hong Kong, 香港",page - 1
15,大榮華,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tai-wing-wah,粵菜,"元朗安寧路2-6號2樓, Hong Kong, 香港",page - 1
16,L'Envol,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/l-envol,時尚法國菜,"灣仔港灣徑1號瑞吉酒店3樓, Hong Kong, 香港",page - 1
17,坤記糕品,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kwan-kee-store,街頭小吃,"深水埗福華街115-117號, Hong Kong, 香港",page - 1
18,明閣 (旺角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ming-court,粵菜,"旺角上海街555號康得思酒店6樓, Hong Kong, 香港",page - 1
19,唐人館 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/china-tang-central,粵菜,"中環皇后大道中15號置地廣場中庭4樓411-413號舖, Hong Kong, 香港",page - 1
20,柏屋,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kashiwaya,日本菜,"中環安蘭街18號8樓, Hong Kong, 香港",page - 2
21,富小路山岸,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tominokoji-yamagishi-1191560,日本菜,"尖沙咀梳士巴利道18號K11 MUSEA 5樓506號舖, Hong Kong, 香港",page - 2
22,麵鮮醬油房周月(鰂魚涌),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/shugetsu-ramen-quarry-bay,拉麵,"鰂魚涌海光街30號, Hong Kong, 香港",page - 2
23,豆漿大王 (新蒲崗),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/king-of-soyabeans-san-po-kong,街頭小吃,"新蒲崗大有街34號新科技廣場地下9號舖, Hong Kong, 香港",page - 2
24,彤福軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/the-legacy-house,順德菜,"尖沙咀梳士巴利道18號瑰麗酒店5樓, Hong Kong, 香港",page - 2
25,唐人館 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/china-tang-tsim-sha-tsui,粵菜,"尖沙咀廣東道17號海港城港威商場4樓4101號舖, Hong Kong, 香港",page - 2
26,合時小廚,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hop-sze,粵菜,"西灣河筲箕灣道39號麗灣大廈地下, Hong Kong, 香港",page - 2
27,美味廚,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/megan-s-kitchen,粵菜,"灣仔灣仔道165-171號樂基中心5樓, Hong Kong, 香港",page - 2
28,奇趣餅家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kei-tsui,街頭小吃,"旺角花園街135號, Hong Kong, 香港",page - 2
29,榴槤樂園（尖沙咀）,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/durian-land,街頭小吃,"尖沙咀金巴利道92號, Hong Kong, 香港",page - 2
30,香宮,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/shang-palace,粵菜,"尖東麼地道64號九龍香格里拉酒店地庫1樓, Hong Kong, 香港",page - 2
31,靠得住 (灣仔),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/trusty-congee-king-wan-chai,粥麵,"灣仔克街7號, Hong Kong, 香港",page - 2
32,英記麵家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/eng-kee-noodle-shop,麵食,"西營盤高街32號地下, Hong Kong, 香港",page - 2
33,全記海鮮 (海傍街),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chuen-kee-seafood,海鮮,"西貢海傍街53號, Hong Kong, 香港",page - 2
34,夏宮,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/summer-palace,粵菜,"金鐘法院道太古廣場港島香格里拉酒店5樓, Hong Kong, 香港",page - 2
35,Bo Innovation,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/bo-innovation,創新菜,"灣仔莊士敦道60號J Senses 1樓平台8號舖, Hong Kong, 香港",page - 2
36,利苑酒家 (九龍灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-kowloon-bay,粵菜,"九龍灣偉業街33號德福廣場一期F2號舖, Hong Kong, 香港",page - 2
37,Ryota Kappou Modern,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ryota-kappou-modern,日本菜,"中環安蘭街18號21樓, Hong Kong, 香港",page - 2
